id,artists,duration_ms,name,popularity,music_composer,release_date,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7A4l9HrFXO9vq7lW0NZFGT,"Karthik, Shweta Mohan",306133,Nee Korinaal,33,Sharreth,2011-04-14,180 (Original Motion Picture Soundtrack),0.688,0.538,0,-7.752,0,0.0304,0.398,0.00104,0.0765,0.142,119.936,audio_features,spotify:track:7A4l9HrFXO9vq7lW0NZFGT,https://api.spotify.com/v1/tracks/7A4l9HrFXO9vq7lW0NZFGT,https://api.spotify.com/v1/audio-analysis/7A4l9HrFXO9vq7lW0NZFGT,306133,4
23vjoNQAAJeOMQzem8ldEm,Ramya S. Kapadia,97493,Radhe Radhe,5,Sharreth,2011-04-14,180 (Original Motion Picture Soundtrack),0.392,0.27,2,-10.447,1,0.0299,0.822,0.0,0.33,0.651,81.547,audio_features,spotify:track:23vjoNQAAJeOMQzem8ldEm,https://api.spotify.com/v1/tracks/23vjoNQAAJeOMQzem8ldEm,https://api.spotify.com/v1/audio-analysis/23vjoNQAAJeOMQzem8ldEm,97493,4
6mmGbsCqf5e8vxv1WodYIG,G. V. Prakash,344360,Yathe Yathe,56,G. V. Prakash,2010-11-08,Aadukalam (Original Motion Picture Soundtrack),0.448,0.607,9,-4.606,0,0.0611,0.791,0.0,0.0888,0.484,139.509,audio_features,spotify:track:6mmGbsCqf5e8vxv1WodYIG,https://api.spotify.com/v1/tracks/6mmGbsCqf5e8vxv1WodYIG,https://api.spotify.com/v1/audio-analysis/6mmGbsCqf5e8vxv1WodYIG,344360,4
7lnRiEP7BHXuILXNY9MH8f,"G. V. Prakash, Velmurugan",238986,Otha Sollaala,55,G. V. Prakash,2010-11-08,Aadukalam (Original Motion Picture Soundtrack),0.707,0.925,4,-5.675,0,0.185,0.681,0.000393,0.0748,0.956,79.932,audio_features,spotify:track:7lnRiEP7BHXuILXNY9MH8f,https://api.spotify.com/v1/tracks/7lnRiEP7BHXuILXNY9MH8f,https://api.spotify.com/v1/audio-analysis/7lnRiEP7BHXuILXNY9MH8f,238987,4
5DYfTyqUNBmOnQtljQjYk2,"G. V. Prakash, S. P. Balasubrahmanyam, S.P.Charan, Prashanthini",324373,Ayyayo,56,G. V. Prakash,2010-11-08,Aadukalam (Original Motion Picture Soundtrack),0.608,0.705,7,-5.525,0,0.0364,0.499,0.000124,0.0878,0.733,75.031,audio_features,spotify:track:5DYfTyqUNBmOnQtljQjYk2,https://api.spotify.com/v1/tracks/5DYfTyqUNBmOnQtljQjYk2,https://api.spotify.com/v1/audio-analysis/5DYfTyqUNBmOnQtljQjYk2,324373,4
0j5PDjpBsLIEQdRVSoXFBv,"G. V. Prakash, Shubha Mudgal, Nithyasree Mahadevan, Vinitra",345560,Kanaa Kaangiren,48,G. V. Prakash,2008-10-03,Anandha Thaandavam (Original Motion Picture Soundtrack),0.47,0.808,9,-3.518,0,0.12,0.0803,0.00903,0.0765,0.549,119.963,audio_features,spotify:track:0j5PDjpBsLIEQdRVSoXFBv,https://api.spotify.com/v1/tracks/0j5PDjpBsLIEQdRVSoXFBv,https://api.spotify.com/v1/audio-analysis/0j5PDjpBsLIEQdRVSoXFBv,345560,4
1yX0MPmFAYosPyLyjTwpTf,"Hariharan, Anupama",310632,Konja Naal Poru Thalaivaa,33,Deva,1995-09-08,Aasai,0.825,0.71,2,-10.174,1,0.0525,0.146,1.35e-06,0.271,0.756,106.23,audio_features,spotify:track:1yX0MPmFAYosPyLyjTwpTf,https://api.spotify.com/v1/tracks/1yX0MPmFAYosPyLyjTwpTf,https://api.spotify.com/v1/audio-analysis/1yX0MPmFAYosPyLyjTwpTf,310632,4
5TUPPDZza8hJ8Ot8WPjrUE,"Unnikrishnan, K. S. Chithra",386784,Pulveli Pulveli,30,Deva,1995-09-08,Aasai,0.799,0.626,2,-6.397,1,0.0303,0.453,0.00866,0.147,0.627,108.295,audio_features,spotify:track:5TUPPDZza8hJ8Ot8WPjrUE,https://api.spotify.com/v1/tracks/5TUPPDZza8hJ8Ot8WPjrUE,https://api.spotify.com/v1/audio-analysis/5TUPPDZza8hJ8Ot8WPjrUE,386784,4
2uKwMpzeWiTBL8BhhzEvxE,"Unnikrishnan, Anuradha Sriram",332015,Meenamma,42,Deva,1995-09-08,Aasai,0.651,0.887,7,-7.082,1,0.118,0.0607,0.115,0.0866,0.745,177.226,audio_features,spotify:track:2uKwMpzeWiTBL8BhhzEvxE,https://api.spotify.com/v1/tracks/2uKwMpzeWiTBL8BhhzEvxE,https://api.spotify.com/v1/audio-analysis/2uKwMpzeWiTBL8BhhzEvxE,332016,4
3jK0eYXyYOgAFyJuIZIYeO,"Mathangi, Kunal",310674,January Matham,19,"Ravikrishna, Soniya Agarwal",2013-03-28,7/G Rainbow Colony (Original Motion Picture Soundtrack),0.792,0.643,10,-10.313,0,0.0445,0.038,0.000621,0.278,0.79,119.994,audio_features,spotify:track:3jK0eYXyYOgAFyJuIZIYeO,https://api.spotify.com/v1/tracks/3jK0eYXyYOgAFyJuIZIYeO,https://api.spotify.com/v1/audio-analysis/3jK0eYXyYOgAFyJuIZIYeO,310674,4
7fu8lcM9N3rVjWZr9ky6Nd,Karthik,348290,Kan Pesum Varthaigal,45,"Ravikrishna, Soniya Agarwal",2013-03-28,7/G Rainbow Colony (Original Motion Picture Soundtrack),0.77,0.731,10,-9.328,0,0.0597,0.0811,0.0255,0.0746,0.856,80.99,audio_features,spotify:track:7fu8lcM9N3rVjWZr9ky6Nd,https://api.spotify.com/v1/tracks/7fu8lcM9N3rVjWZr9ky6Nd,https://api.spotify.com/v1/audio-analysis/7fu8lcM9N3rVjWZr9ky6Nd,348291,4
27kBsV6kTd88QA3aR5Lzs5,"Harish Raghavendra, Madhumathi",329926,Kanaa Kaanum,33,"Ravikrishna, Soniya Agarwal",2013-03-28,7/G Rainbow Colony (Original Motion Picture Soundtrack),0.777,0.635,10,-8.99,0,0.0783,0.282,2.41e-06,0.111,0.361,100.0,audio_features,spotify:track:27kBsV6kTd88QA3aR5Lzs5,https://api.spotify.com/v1/tracks/27kBsV6kTd88QA3aR5Lzs5,https://api.spotify.com/v1/audio-analysis/27kBsV6kTd88QA3aR5Lzs5,329927,4
1CmRN64OaqoabZFItWDtdS,Yuvan Shankar Raja,231418,Music of Joy,16,"Ravikrishna, Soniya Agarwal",2013-03-28,7/G Rainbow Colony (Original Motion Picture Soundtrack),0.579,0.521,10,-10.987,1,0.362,0.309,0.0335,0.249,0.857,132.571,audio_features,spotify:track:1CmRN64OaqoabZFItWDtdS,https://api.spotify.com/v1/tracks/1CmRN64OaqoabZFItWDtdS,https://api.spotify.com/v1/audio-analysis/1CmRN64OaqoabZFItWDtdS,231419,4
3emoTeQOSppS1YTmv3bO5D,Shreya Ghoshal,274834,Ninaithu Ninaithu,36,"Ravikrishna, Soniya Agarwal",2013-03-28,7/G Rainbow Colony (Original Motion Picture Soundtrack),0.715,0.302,2,-9.87,1,0.0371,0.68,4.26e-06,0.217,0.297,131.832,audio_features,spotify:track:3emoTeQOSppS1YTmv3bO5D,https://api.spotify.com/v1/tracks/3emoTeQOSppS1YTmv3bO5D,https://api.spotify.com/v1/audio-analysis/3emoTeQOSppS1YTmv3bO5D,274834,4
1MwtWEgBZbPTB9vYi7CdgI,Yuvan Shankar Raja,199706,Working Through the Rainbow,25,"Ravikrishna, Soniya Agarwal",2013-03-28,7/G Rainbow Colony (Original Motion Picture Soundtrack),0.368,0.3,0,-12.494,0,0.0317,0.904,0.836,0.205,0.11,90.094,audio_features,spotify:track:1MwtWEgBZbPTB9vYi7CdgI,https://api.spotify.com/v1/tracks/1MwtWEgBZbPTB9vYi7CdgI,https://api.spotify.com/v1/audio-analysis/1MwtWEgBZbPTB9vYi7CdgI,199706,4
22qapGEJDa6rbz3SEl391T,"Harris Jayaraj, K K, Prashanthini",279774,Love Pannu (Oru Punnagai Poove),37,Harris Jayaraj,2020-07-28,12 B,0.875,0.716,4,-8.224,1,0.158,0.197,0.0,0.0987,0.903,124.029,audio_features,spotify:track:22qapGEJDa6rbz3SEl391T,https://api.spotify.com/v1/tracks/22qapGEJDa6rbz3SEl391T,https://api.spotify.com/v1/audio-analysis/22qapGEJDa6rbz3SEl391T,279775,4
5FHu3bXMVxG13mW25ZFSsf,"Harris Jayaraj, Harish Raghavendra, Mahalakshmi Iyer",348008,Poove Vai Pesum Pothu,32,Harris Jayaraj,2020-07-28,12 B,0.701,0.393,2,-9.438,1,0.0422,0.246,0.0,0.1,0.518,92.957,audio_features,spotify:track:5FHu3bXMVxG13mW25ZFSsf,https://api.spotify.com/v1/tracks/5FHu3bXMVxG13mW25ZFSsf,https://api.spotify.com/v1/audio-analysis/5FHu3bXMVxG13mW25ZFSsf,348009,4
